title,tmdb_id,release_date,trailer_id,poster_path,overview,comment_count,runtime,genres,production_companies,tmdb_vote_average,tmdb_vote_count,budget,revenue,popularity,box_office,imdb_rating,imdb_votes,imdb_id,metacritic,rated,awards,director,actors
Captain America: Brave New World,822119,2025-02-12,5PSzFLV-EyQ,/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",300,119,"Action, Thriller, Science Fiction","Marvel Studios, Kevin Feige Productions",6.118,1187,180000000,409278201,348.3977,"$166,130,763",6.0,"63,779",tt14513804,42,PG-13,2 nominations total,Julius Onah,"Anthony Mackie, Harrison Ford, Danny Ramirez"
A Working Man,1197306,2025-03-26,mdfrG2cLK58,/bkbmInoAnEaMH4oxpXAXWwKr8Kd.jpg,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",204,116,"Action, Crime, Thriller","Cedar Park Entertainment, BlockFilm, Punch Palace Productions, Balboa Productions, Black Bear Pictures, Fifth Season, CAT5",6.978,90,40000000,33392248,326.9602,N/A,N/A,N/A,tt8271574,N/A,N/A,N/A,Brett Wineland,"Mackenzie Baumhower, Turner Bertz-Ferrara, David Epsen"
Snow White,447273,2025-03-19,KsSoo5K8CpA,/xWWg47tTfparvjK0WJNX4xL8lW2.jpg,"Princess Snow White flees the castle when the Evil Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young thief named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom in the process.",191,109,"Family, Fantasy","Walt Disney Pictures, Marc Platt Productions",4.5,464,270000000,144119098,189.5617,N/A,6.5,965,tt0093999,N/A,PG,N/A,Michael Berz,"Diana Rigg, Billy Barty, Sarah Patterson"
Mufasa: The Lion King,762509,2024-12-18,lMXh6vjiZrI,/lurEK87kukWNaHd0zYnsi3yzJrs.jpg,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",300,118,"Adventure, Family, Animation",Walt Disney Pictures,7.452,1831,200000000,717197856,205.9109,"$248,443,645",6.6,"44,872",tt13186482,56,PG,15 nominations total,Barry Jenkins,"Aaron Pierre, Kelvin Harrison Jr., Tiffany Boone"
Flight Risk,1126166,2025-01-22,Cml3CFDBj2s,/q0bCG4NX32iIEsRFZqRtuvzNCyZ.jpg,"A U.S. Marshal escorts a government witness to trial after he's accused of getting involved with a mob boss, only to discover that the pilot who is transporting them is also a hitman sent to assassinate the informant. After they subdue him, they're forced to fly together after discovering that there are others attempting to eliminate them.",300,91,"Action, Crime, Thriller","Davis Entertainment, Icon Productions, Hammerstone Studios, Media Capital Technologies",6.1,567,25000000,40420193,130.9885,"$29,783,527",5.3,"21,349",tt10078772,38,R,N/A,Mel Gibson,"Michelle Dockery, Mark Wahlberg, Topher Grace"
Flight Risk,1126166,2025-01-22,Cml3CFDBj2s,/q0bCG4NX32iIEsRFZqRtuvzNCyZ.jpg,"A U.S. Marshal escorts a government witness to trial after he's accused of getting involved with a mob boss, only to discover that the pilot who is transporting them is also a hitman sent to assassinate the informant. After they subdue him, they're forced to fly together after discovering that there are others attempting to eliminate them.",300,91,"Action, Crime, Thriller","Davis Entertainment, Icon Productions, Hammerstone Studios, Media Capital Technologies",6.1,567,25000000,40420193,130.9885,"$29,783,527",5.3,"21,349",tt10078772,38,R,N/A,Mel Gibson,"Michelle Dockery, Mark Wahlberg, Topher Grace"
Mickey 17,696506,2025-02-28,tA1s65o_kYM,/edKpE9B5qN3e559OuMCLZdW1iBZ.jpg,"Unlikely hero Mickey Barnes finds himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living.",300,137,"Science Fiction, Comedy, Adventure","Warner Bros. Pictures, Plan B Entertainment, Offscreen, Kate Street Picture Company, Domain Entertainment",7.0,1073,118000000,121519374,124.1591,N/A,7.3,"2,466",tt12299608,75,R,N/A,Bong Joon Ho,"Robert Pattinson, Steven Yeun, Michael Monroe"
Kraven the Hunter,539972,2024-12-11,hR1-ihzff3I,/1GvBhRxY6MELDfxFrete6BNhBB5.jpg,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",300,127,"Action, Adventure, Thriller","Columbia Pictures, Matt Tolmach Productions, Arad Productions",6.624,1509,120000000,59184643,91.47,"$25,026,310",5.4,"44,505",tt8790086,35,R,5 nominations total,J.C. Chandor,"Aaron Taylor-Johnson, Ariana DeBose, Fred Hechinger"
Companion,1084199,2025-01-22,Qr_kX0D3DNA,/oCoTgC3UyWGfyQ9thE10ulWR7bn.jpg,"During a weekend getaway at a secluded lakeside estate, a group of friends finds themselves entangled in a web of secrets, deception, and advanced technology. As tensions rise and loyalties are tested, they uncover unsettling truths about themselves and the world around them.",300,97,"Horror, Science Fiction, Thriller","BoulderLight Pictures, New Line Cinema, Vertigo Entertainment, Subconscious, Domain Entertainment, Warner Bros. Pictures",7.075,939,10000000,36499858,94.2498,"$20,809,101",7.0,"62,373",tt26584495,70,R,1 win total,Drew Hancock,"Sophie Thatcher, Jack Quaid, Lukas Gage"
The Monkey,1124620,2025-02-14,husMGbXEIho,/yYa8Onk9ow7ukcnfp2QWVvjWYel.jpg,"When twin brothers find a mysterious wind-up monkey, a series of outrageous deaths tear their family apart. Twenty-five years later, the monkey begins a new killing spree forcing the estranged brothers to confront the cursed toy.",300,98,"Horror, Comedy","Atomic Monster, C2 Motion Picture Group, Range Media Partners, Oddfellows Entertainment, The Safran Company, Stars Collective",5.966,341,10000000,64092278,76.5189,N/A,7.0,399,tt27714946,67,R,N/A,Osgood Perkins,"Theo James, Tatiana Maslany, Christian Convery"
