title,tmdb_id,release_date,trailer_id,poster_path,overview,comment_count,runtime,genres,production_companies,tmdb_vote_average,tmdb_vote_count,budget,revenue,popularity,box_office,imdb_rating,imdb_votes,imdb_id,metacritic,rated,awards,director,actors
Dog Man,774370,2025-01-24,QaJbAennB_Q,/89wNiexZdvLQ41OQWIsQy4O6jAQ.jpg,"When a faithful police dog and his human police officer owner are injured together on the job, a harebrained but life-saving surgery fuses the two of them together and Dog Man is born. Dog Man is sworn to protect and serve—and fetch, sit and roll over. As Dog Man embraces his new identity and strives to impress his Chief, he must stop the pretty evil plots of feline supervillain Petey the Cat.",291,89,"Family, Comedy, Adventure, Animation",DreamWorks Animation,7.8,200,40000000,134251500,56.938,"$90,317,665",6.5,"6,663",tt10954718,66,PG,N/A,Peter Hastings,"Pete Davidson, Poppy Liu, Lil Rel Howery"
Companion,1084199,2025-01-22,Qr_kX0D3DNA,/oCoTgC3UyWGfyQ9thE10ulWR7bn.jpg,"During a weekend getaway at a secluded lakeside estate, a group of friends finds themselves entangled in a web of secrets, deception, and advanced technology. As tensions rise and loyalties are tested, they uncover unsettling truths about themselves and the world around them.",177,97,"Horror, Science Fiction, Thriller","BoulderLight Pictures, New Line Cinema, Vertigo Entertainment, Subconscious, Domain Entertainment, Warner Bros. Pictures",7.078,995,10000000,36709101,55.2951,"$20,809,101",7.0,"62,373",tt26584495,70,R,1 win total,Drew Hancock,"Sophie Thatcher, Jack Quaid, Lukas Gage"
Red One,845781,2024-10-31,7l3hfD74X-4,/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas.",338,124,"Action, Comedy, Fantasy","Seven Bucks Productions, The Detective Agency, Chris Morgan Productions, Metro-Goldwyn-Mayer",7.056,2438,250000000,185700759,43.2488,"$97,000,759",6.3,"137,223",tt14948432,34,PG-13,7 nominations total,Jake Kasdan,"Dwayne Johnson, Chris Evans, Lucy Liu"
Magazine Dreams,784524,2025-03-21,imqmeRe46iE,/vSidx9NHKuQIPEQ4yI9b9zkTeh3.jpg,"Aspiring bodybuilder Killian Maddox struggles to find human connection in this exploration of celebrity and violence. Nothing deters him from his fiercely protected dream of superstardom, not even the doctors who warn him of the permanent damage he causes to himself with his quest.",311,124,Drama,"Tall Street Productions, Los Angeles Media Fund, Jennifer Fox Productions",6.8,9,0,1076099,39.6187,N/A,6.7,377,tt13652142,72,N/A,2 wins & 1 nomination,Elijah Bynum,"Jonathan Majors, Harrison Page, Harriet Sansom Harris"
Heretic,1138194,2024-10-31,jpWUOxRozZg,/fr96XzlzsONrQrGfdLMiwtQjott.jpg,"Two young missionaries are forced to prove their faith when they knock on the wrong door and are greeted by a diabolical Mr. Reed, becoming ensnared in his deadly game of cat-and-mouse.",333,111,"Horror, Thriller","A24, Beck/Woods, Shiny Penny Productions, CatchLight Studios",7.071,1510,10000000,51913394,39.5302,"$27,986,380",7.0,"115,341",tt28015403,71,R,Nominated for 1 BAFTA Award29 nominations total,"Scott Beck, Bryan Woods","Hugh Grant, Sophie Thatcher, Chloe East"
Fast X,385687,2023-05-17,eoOaKN4qCKw,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",158,142,"Action, Crime, Thriller, Adventure, Mystery","Universal Pictures, Original Film, One Race, Perfect Storm Entertainment",7.047,5845,340000000,704709660,35.8236,"$146,126,015",5.7,"129,963",tt5433140,56,PG-13,2 wins & 15 nominations total,Louis Leterrier,"Vin Diesel, Michelle Rodriguez, Jason Statham"
Wicked,402431,2024-11-20,pqi45Qhq3CI,/xDGbZ0JJ3mYaGKy4Nzd9Kph6M9L.jpg,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",326,162,"Drama, Romance, Fantasy","Universal Pictures, Marc Platt Productions",6.928,2030,150000000,747289164,35.4322,"$473,231,120",7.5,"140,661",tt1262426,73,PG,Won 2 Oscars. 112 wins & 300 nominations total,Jon M. Chu,"Cynthia Erivo, Ariana Grande, Jeff Goldblum"
The Lord of the Rings: The War of the Rohirrim,839033,2024-12-05,gCUg6Td5fgQ,/cXzCOx1hUuU9CfmiEv6rXjb6EqU.jpg,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg.",230,134,"Animation, Fantasy, Adventure, Action","New Line Cinema, Warner Bros. Animation, Sola Entertainment, Middle-earth Enterprises, WingNut Films, Domain Entertainment",6.663,540,30000000,19958572,34.1335,"$8,590,000",6.5,"14,353",tt14824600,54,PG-13,N/A,Kenji Kamiyama,"Brian Cox, Gaia Wise, Miranda Otto"
Avengers: Infinity War,299536,2018-04-25,QwievZ1Tx-8,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",163,149,"Adventure, Action, Science Fiction",Marvel Studios,8.235,30395,300000000,2052415039,34.0939,"$678,815,482",8.4,"1,263,980",tt4154756,68,PG-13,Nominated for 1 Oscar. 48 wins & 81 nominations total,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo"
Last Breath,972533,2025-02-27,sNMyooXZZTM,/w04Xg5Bnqj7ECdCxTsHgqK6AtJW.jpg,Seasoned deep-sea divers battle the raging elements to rescue their crewmate trapped hundreds of feet below the ocean's surface.,347,93,"Thriller, Drama","Dark Castle Entertainment, MetFilm Production, Longshot Films, Floating Harbour, FilmNation Entertainment, Thing 44, Aperture Media Partners",6.893,187,23800000,22761967,32.755,N/A,7.7,"7,864",tt9056818,61,TV-MA,N/A,"Richard da Costa, Alex Parkinson","Duncan Allcock, Kjetil Ove Alvestad, Stuart Anderson"
Alien: Romulus,945961,2024-08-13,x0XDEhP4MQs,/b33nnKl1GSFbao4l3fZDDqsMx0F.jpg,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",211,119,"Horror, Science Fiction","20th Century Studios, Scott Free Productions, Brandywine Productions",7.206,3515,80000000,350865342,32.2342,"$105,313,091",7.1,"236,207",tt18412256,64,R,Nominated for 1 Oscar. 13 wins & 44 nominations total,Fede Alvarez,"Cailee Spaeny, David Jonsson, Archie Renaux"
Nosferatu,426063,2024-12-25,nulvWqYUM8k,/5qGIxdEO841C0tdY8vOdLoRVrr0.jpg,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",161,133,"Horror, Fantasy","Focus Features, Studio 8, Maiden Voyage Pictures, Birch Hill Road Entertainment",6.707,2493,50000000,180928503,30.6073,"$95,608,235",7.3,"169,753",tt5040012,78,R,Nominated for 4 Oscars. 57 wins & 177 nominations total,Robert Eggers,"Lily-Rose Depp, Nicholas Hoult, Bill Skarsgård"
Dune: Part Two,693134,2024-02-27,U2Qp5pL3ovA,/6izwz7rsy95ARzTR3poZ8H6c5pp.jpg,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",242,167,"Science Fiction, Adventure",Legendary Pictures,8.148,6515,190000000,714444358,30.1309,"$282,144,358",8.5,"610,371",tt15239678,79,PG-13,Won 2 Oscars. 106 wins & 367 nominations total,Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson"
Inside Out,150540,2015-06-17,1HFv47QHWJU,/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",330,95,"Animation, Family, Adventure, Drama, Comedy","Pixar, Walt Disney Pictures",7.91,22405,175000000,857611174,29.6983,"$356,461,711",8.1,"853,260",tt2096673,94,PG,Won 1 Oscar. 99 wins & 118 nominations total,"Pete Docter, Ronnie Del Carmen","Amy Poehler, Bill Hader, Lewis Black"
John Wick: Chapter 4,603692,2023-03-22,yjRHZEUamCc,/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",223,170,"Action, Thriller, Crime","Thunder Road, 87Eleven, Studio Babelsberg, Lionsgate",7.722,6961,90000000,440157245,26.8776,"$187,131,806",7.6,"371,573",tt10366206,78,R,37 wins & 49 nominations total,Chad Stahelski,"Keanu Reeves, Laurence Fishburne, George Georgiou"
No Time to Die,370172,2021-09-29,N_gD9-Oa0fg,/iUgygt3fscRoKWCV1d0C7FbM9TP.jpg,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",177,163,"Action, Thriller, Adventure","EON Productions, Metro-Goldwyn-Mayer",7.365,6470,250000000,774153024,26.7932,"$160,891,007",7.3,"462,850",tt2382320,68,PG-13,Won 1 Oscar. 50 wins & 76 nominations total,Cary Joji Fukunaga,"Daniel Craig, Ana de Armas, Rami Malek"
Babygirl,1097549,2024-12-25,9XXoNB0lVGo,/A8HbTd0FemZyFCh5qvJFpHGiwF8.jpg,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much younger intern.,247,115,Drama,"A24, 2AM, Man Up Film",5.827,629,20000000,60934894,26.2547,"$28,196,732",6.0,"47,464",tt30057084,79,R,8 wins & 25 nominations total,Halina Reijn,"Nicole Kidman, Harris Dickinson, Antonio Banderas"
